,word,positive,negative
629,@shaunking,0,1
630,base,0,1
631,problems,0,1
632,@crampell:,0,1
633,carried,0,1
634,herself,0,1
635,did,5,1
636,@masgharafghan,0,1
637,effective,1,1
638,intellectual,0,1
639,peop,0,1
640,signaling/hedonism,0,1
641,country,0,1
642,bombing,0,1
643,reached,0,1
644,appalled,0,1
645,petite,0,1
646,social,1,1
647,score,0,1
648,regardless,0,1
649,around,2,1
650,excuses,0,1
651,alisson,0,1
652,breaking,0,1
653,driver,0,1
654,grudges,0,1
655,giving,0,1
656,pay,0,1
657,trying,2,1
658,denies,0,1
659,ch,0,1
660,most,2,1
661,town,0,1
662,screen,0,1
663,almost,0,1
664,biased,0,1
665,expressing,0,1
666,2:4,0,1
667,20:46,0,1
668,munster,0,1
669,unless,0,1
670,difficult,0,1
671,struggle,0,1
672,leaving,0,1
673,sometimes,0,1
674,labor,0,1
675,war,0,1
676,them,1,1
677,tell,1,1
678,month,0,1
679,trolls,0,1
680,2014,0,1
681,boys,1,1
682,won,0,1
683,pm,0,1
684,border,0,1
685,39:53,0,1
686,uk,0,1
687,down,0,1
688,stressed,0,1
689,15,0,1
690,motivation,0,1
691,@skynews,0,1
692,},0,1
693,@shadbase,0,1
694,aspects,0,1
695,absence,0,1
696,classics,0,1
697,expected,0,1
698,each,0,1
699,bc,0,1
700,troubled,0,1
701,{opens,0,1
702,ohhhhh,0,1
703,shouldn't,0,0
704,sure,2,1
705,issues,1,1
706,-and,0,1
707,climate,0,1
708,psychiatrie,0,1
709,companies,0,1
710,judging,0,1
711,reportedly,0,1
712,tho,0,1
713,@brendan_92,0,1
714,kill,0,1
715,place,1,1
716,solve,0,1
717,shouted,0,1
718,governors,0,1
719,reading,0,1
720,older,1,1
721,fixing,0,1
722,cancer,0,1
723,week,0,1
724,verse,0,1
725,professionals,0,1
726,mom,0,1
727,external,0,1
728,modi's,0,0
729,corporate,0,1
730,disappointed,0,1
731,gandalf,0,1
732,@hosumkj:,0,1
733,location,0,1
734,rally,0,1
735,forget,0,1
736,sweep,0,1
737,asked,0,1
738,feet,0,1
739,forwards,0,1
740,pakistan,0,1
741,@lauramjthomson,0,1
742,starts,0,1
743,often,0,1
744,family,0,1
745,sommer,0,1
746,moved,0,1
747,forever,0,1
748,holding,0,1
749,@kkriders,0,1
750,artists,0,1
751,cute,2,1
752,co/m2sy5dy93b,0,1
753,sussex,0,1
754,@imquotes_videos:,0,1
755,key:,0,1
756,sick,0,1
757,psychology,0,1
758,anxious,0,1
759,crimes,0,1
760,anti-depressants,0,1
761,currently,1,1
762,merely,0,1
763,new,1,1
764,rural,0,1
765,x,0,1
766,@1loganhenderson:,0,1
767,respawning,0,1
768,4,0,1
769,gammons,0,1
770,1-1,0,1
771,message,0,1
772,celebrated,0,1
773,starting,0,1
774,head,1,1
775,@enjy_esmail18:,0,1
776,eco-terrorists,0,1
777,competent,0,1
778,anonymous,0,1
779,@_kateelaa:,0,1
780,co/60i9fyrelr,0,1
781,@selimseesyou:,0,1
782,sheets,0,1
783,moment,0,1
784,smiling,0,1
785,creating,0,1
786,worried,0,1
787,books,0,1
788,somewhat,0,1
789,yeah,0,1
790,cliques,0,1
791,immature,0,1
792,ground,0,1
793,folks,0,1
794,co/l4l6jz0zcu,0,1
795,3:31,0,1
796,change,0,1
797,co/axsap8dwuv,0,1
798,bringing,0,1
799,joined,0,1
800,deep,0,1
801,@barryheaven,0,1
802,wth,0,1
803,shed,0,1
804,cause,1,1
805,wrongs,0,1
806,families,0,1
807,facebook,0,1
808,3:159,0,1
809,imported,0,1
810,203-590-3737,0,1
811,determined,0,1
812,@dienamiteredder,0,1
813,bilbo's,0,0
814,lose,0,1
815,afghanistan,0,1
816,angry,0,1
817,discriminated,0,1
818,manager,0,1
819,scot,0,1
820,those,2,1
821,idea,0,1
822,sacking,0,1
823,cancel,0,1
824,minute,0,1
825,racism,0,1
826,voter,0,1
827,learning,1,1
828,hyung,0,1
829,own,0,1
830,however,0,1
831,sout,0,1
832,struggling,0,1
833,shes,0,1
834,media/culture,0,1
835,uber,0,1
836,ward,0,1
837,@thehill,0,1
838,studio,0,1
839,anymore,0,1
840,@lukeoneil47,0,1
841,start,5,1
842,glad,1,1
843,@madddeline_____,0,1
844,played,0,1
845,flooded,0,1
846,respe,0,1
847,morning,1,1
848,front,0,1
849,lol,1,1
850,imagine,1,1
851,@iamsrk:,0,1
852,married,0,1
853,style,2,1
854,sinned,0,1
855,fewer,0,1
856,therapy,0,1
857,events,0,1
858,set,0,1
859,should,2,1
860,sense,0,1
861,conservatism,0,1
862,@sootradhar:,0,1
863,lonely,0,1
864,4:28,0,1
865,icc,0,1
866,door,0,1
867,managers,0,1
868,least,0,1
869,boy,0,1
870,true,1,1
871,supply,0,1
872,@bjp4india:,0,1
873,medical,0,1
874,@theprickledk,0,1
875,bilbo,0,1
876,personally,0,1
877,drove,0,1
878,telling,1,1
879,end,0,1
880,views,0,1
