,word,frequency
1022,co/ysraxnpauh,1
1023,@aybaybader,1
1024,@hermosahanna,1
1025,@enjoynature:,1
1026,nature,1
1027,@vickibangle,1
1028,creations,1
1029,spouse,1
1030,better,1
1031,congress,1
1032,wooooo,1
1033,youmu,1
1034,co/err7zveqo7,1
1035,@sergeveilleux5,1
1036,@stradagangelica,1
1037,fuvb,1
1038,fall,1
1039,co/gos4aigwj0,1
1040,ene,1
1041,successful,1
1042,guineapigs,1
1043,@teamquetta:,1
1044,@kimmeye1:,1
1045,@doggintrump:,1
1046,strange,1
1047,campsbourne,1
1048,@laurenjauregui:,1
1049,paying,1
1050,gotta,1
1051,congratulations,1
1052,brie,1
1053,specific,1
1054,@majornelson,1
1055,kiss,1
1056,market,1
1057,co/aberq7n82c,1
1058,queen,1
1059,fun,1
1060,awol,1
1061,@nhlbruins,1
1062,bpm:180,1
1063,co/bd4ch9a5jm,1
1064,co/50ghxbet2o,1
1065,@dricciardo,1
1066,co/o30kh89oyz,1
1067,-yeeun,1
1068,co/ba7nt,1
1069,carrot,1
1070,freecodefriday,1
1071,memes,1
1072,ending,1
1073,gam,1
1074,@jetreset:,1
1075,banning,1
1076,@tdgarden,1
1077,cookie,1
1078,ha,1
1079,flowers,1
1080,mixtape,1
1081,joke,1
1082,early,1
1083,staffer,1
1084,rested,1
1085,soundcheck,1
1086,legendary,1
1087,hike,1
1088,@michaelbangles,1
1089,words,1
1090,hahah,1
1091,@juliancamarena:,1
1092,mix,1
1093,following,1
1094,hereby,1
1095,co/mtatdn60p2,1
1096,co/rqii68iomv,1
1097,national,1
1098,fueled,1
1099,ghost,1
1100,@therealjonny_5,1
1101,bed,1
1102,co/jq501xfjnn,1
1103,maintaining,1
1104,th,1
1105,@ethansvg,1
1106,@toeianimation:,1
1107,gorams,1
1108,changed,1
1109,yuyuko,1
1110,girl,1
1111,adorable,1
1112,hi,1
1113,@cardinals:,1
1114,suffer,1
1115,mood,1
1116,swimming,1
1117,job,1
1118,@ohmyguinea:,1
1119,wait,1
1120,chois,1
1121,annoyed,1
1122,freaking,1
1123,pets,1
1124,predictive,1
1125,requirements,1
1126,kee,1
1127,co/8cssohiewd,1
1128,version:gf1,1
1129,@christo40822057,1
1130,@oknox,1
1131,moon,1
1132,charlotte,1
1133,free,1
1134,@t1mbles:,1
1135,appreciate,1
1136,ikea,1
1137,prop,1
1138,ahead,1
1139,jelly,1
1140,beautiful,1
1141,prince,1
1142,@petty_lex:,1
1143,skylines,1
1144,manage,1
1145,mohammad,1
1146,@lavendertones,1
1147,vacations,1
1148,ht,1
1149,rel,1
1150,millions,1
1151,anything,1
1152,19,1
1153,fuji,1
1154,mount,1
1155,@manishp24604101,1
1156,smile,1
1157,2019,1
1158,rezon,1
1159,officially,1
1160,urban,1
1161,@srirachastay:,1
1162,inspired,1
1163,baby,1
1164,sunshine,1
1165,excuse,1
1166,@aoc,1
1167,co/klkihdgywb,1
1168,co/buftfzy8br,1
1169,@felinechairthi1,1
1170,busch,1
1171,ladies,1
1172,@kevinz_thd,1
1173,can't,1
1174,wholesome,1
1175,@nicholls_cheer:,1
1176,artist:,1
1177,@ninjaeee,1
1178,newcomers,1
1179,@bovb51:,1
1180,blossoms,1
1181,kristen,1
1182,ends,1
1183,swimsuit,1
1184,yall,1
1185,bl,1
1186,marriage,1
1187,@litebrite123,1
1188,greetings,1
1189,b,1
